113084,134943,102042,645862,202762,161977,109652,179083,548430,536917,161180,136093,193363,126638,169244,455526,447888,123820,76455,934243,1381744,138236,84201,535154,103593,540249,1000660,196448,151884,33049,2731571,284461,398953,1109909
2.7,119.5,41.3,255.9,38.2,18.8,38.4,19.8,568.9,480.6,22.5,24.23,29.2,42.2,26.4,137.3,241.5,7.3,0.4,334.8,1108.1,35.9,0.3,390.9,6.9,61.4,255.23,4.2,0.7,2.3,4334.4,68.6,215.5,629.9
41266.67,1128.88,102042,2523.8,5314.34,8603.7,2859.09,9065.6,964.04,1117.29,7154.41,5617.79,6627.44,3002.25,6418.52,3317.27,1854.23,16937.78,173828.16,2790.3,1246.96,3848.2,271922.4,1368.92,15032.23,8800.12,3920.64,46551.02,230610.23,14146.28,630.2,4147.01,1850.9,1762.13
95250,108630,83060,523485,165345,133870,90055,151620,433845,441055,133920,109295,159480,105015,141645,373875,371555,103555,60495,761420,1119405,115245,68130,432125,83875,442945,160390,162905,125045,27475,2294790,229790,324330,905545
40705,42000,39021,49018,41932,45147,41749,42599,64762,43966,39629,42720.45,45891,48249,43410,44431,41858,41119,42726,54605,42651,41943,44832,46906,42424,45017,42122.87,46788,44031,41425,52268,48585,44139,50867
39520,54700,37740,262055,77685,57535,40550,59300,230770,213130,57565,53260,75040,46190,62325,181290,171345,42810,28050,400475,564745,49635,32555,231275,38760,208650,79375,76220,58150,11675,1094805,122390,149445,446975
1315,1920,445,34015,2685,495,290,990,27935,25540,1240,550,4960,1165,920,15970,5000,1150,205,90690,100600,2050,1285,15295,215,6585,700,3720,2210,265,463000,5480,4730,65320
12010,19780,8820,120090,31330,27305,15205,33790,114140,65820,27455,20520,34180,16995,30415,66655,73680,19910,9350,116035,227535,24610,8825,88490,18315,114330,34600,18820,15165,5385,400950,53965,51340,186545
17570,17510,16915,62035,28695,22840,12625,22270,44485,80915,24630,16250,25655,15825,21450,77045,63405,19525,7040,115180,175980,20265,10760,64020,13095,61115,24350,24455,19175,5675,543390,27720,64665,132450
50785,69240,49960,343745,101565,80140,54735,83295,297755,271990,75325,72980,96420,60020,84205,233840,222075,57820,36320,501085,730870,66640,40710,291055,50310,282085,103065,97380,73505,15540,1437545,159425,189680,590650
4475,4340,3580,20795,6760,5915,3765,5820,16530,21745,5260,4310,9350,4640,6085,20040,15885,4880,2595,32880,37400,5375,3055,16020,4005,18780,6615,8400,6795,1170,84365,8970,15260,31190
26765,23685,21455,92790,40165,38705,22665,47265,81810,92910,36410,27775,38970,27295,38490,76745,95845,27805,12665,144140,176820,31550,14055,77190,21650,101660,36830,37590,28625,7205,426940,44845,70440,161930
